prompt,references_past
"vector, low poly, brown cross icon, on the top of a hill, sunset background, cgsociety, volumetric lighting, artstationhq",no
"photo realism, small tyrannosaurus rex, big human, background jungle, 4 k",no
"concept art of a massive spaceship in the shape of a spear by chris foss, artstation hq.",no
3d render of a hotdog floating ominously in a hallway,no
"shot lush forest details, vibrant, highly detailed, by dieter rams 1 9 9 0, national geographic magazine, reportage photo, natural colors",no
"full headshot portrait of a girl with long black hair, drawn by WLOP, by Avetetsuya Studios, attractive character, colored sketch anime manga panel, trending on Artstation",no
"Owen Wilson as Tony Stark, ambient lighting, 4k, alphonse mucha, lois van baarle, ilya kuvshinov, rossdraws, artstation",no
"intricate garnet engraved in magical runes, octane render, volumetric, volumetric lighting, cinematic framing, cover art, loish van baarle, 8 k, sharp focus, octane render, lantern, volumetric, ray tracing, artstation trending, moon, subsurface scatter, pocketwatch, cgsociety, sense of awe, mystical",no
"There will be blood, oil rig\'",no
"inca insane by ford madox brown. a computer art of a beautiful scene of nature. the colors are very soft & muted, & the overall effect is one of serenity & peace. the composition is well balanced, & the brushwork is delicate & precise.",no
"masterpiece closeup portrait of Kitana from Mortal Kombat, trending on Artstation, comic art, symmetrical artwork, high detail",no
edouard manet. marie is alone.,no
retro sci-fi painting of an alien city,no
"portrait hero action pose of western female knights, chinese dragon concept art at ancient temple, highly detailed, digital painting, artstation, sharp focus, illustration, art by tan zi and ayanamikodon and alphonse mucha and wlop",no
"girl with purple hair gathered in two tails with green eyes in a school uniform with vig breasts drinks cofee, anime style, park, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha",no
A portrait painting of kevin conroy; the most beautiul painting in the world; trending on artstation; oil on canvas; correct face; correct eyes; anatomically correct; extraordinary masterpiece!!!!!!; 8k,no
"photo of 梅艳芳 by Diane Arbus, extreme closeup, black and white, high contrast, Rolleiflex, 55mm f/4 lens",no
"small wooden house in the middle of spring forest, bright colours, watercolor, volumetric wool felting, macro photography, children illustration, by dean roger",no
"girl staring at a meteorite hitting a floating cyberpunk city at night by wlop, key visual, high detail, digital art",no
"svg sticker of a DJ spinning records, mad-man-crazy-psychedelic-vibe going out across the galaxy, wild-times-cowabunga",no
