prompt,references_past
"painting of young cute handsome beautiful dark medium wavy hair man in his 2 0 s named shadow taehyung at the halloween pumpkin party, somber, depressed, melancholy, sad, elegant, clear, painting, stylized, delicate, soft facial features, delicate facial features, soft art, art by alphonse mucha, vincent van gogh, egon schiele",no
"transparent colorful atlantic pond blob bear cantaloupe honey truck , by Peter Paul Rubens and Paul Gauguin and Alberto Giacometti , trending on artstation , poster art , Photoillustration",no
"goro fujita ilustration road that ends at the entrance of a beautiful forest full of fauna, tall trees, flowers, painting by goro fujita, sharp focus, highly detailed, artstation",no
"elegant celestial orgasm detailed and highly reliefed analogue mixed media collage with canvas texture in style of conteporary art, punk art, hyperrealistic beautiful face, photorealistic, expressionism, masterpiece, perfect composition, spectacular quality, intricate oil details",no
"tattoo design sketch of a beautiful woman with a background of beautiful mountains on her side, hyper - realistic, double exposure effect, in the style of den yakovlev, amazing detail, black and white, faded",no
"Minion dressed as a road warrior, George Miller, Photorealistic, Hyper detailed, desert, post apocalyptic, fire, dust, black and white",no
"Arnold Schwarzenegger as spiderman , muscle extremely detailed, fantastic details full face, mouth, trending on artstation, pixiv, cgsociety, hyperdetailed Unreal Engine 4k 8k ultra HD, WLOP",no
"mandelbrot fractal, stained glass window",no
"epic album cover, wwe's asuka, tending on artstation, award - winning art",no
"horse, riding on astronaut, industrial sci - fi, by mandy jurgens, ernst haeckel, james jean",no
"sideview waist up portrait of bear with big antler wear black cape hoodie made with porcelain by jeff easley and peter elson, beautiful eyes and face, symmetry face, galaxy, gothic, surreal, dread, highly detailed, intricate complexity, epic composition, magical atmosphere, masterpiece, award winning, trending on artstation",no
the titanic sinking. 8 k,yes
"a portrait of a model detailed features wearing a cargo latex wedding dress - chic'techno fashion trend lots of zippers, pockets, synthetic materials, jumpsuits. by issey miyake and mitsuo katsui",no
"tarot card of a shirtless swordsman, dad bod, homoerotic, art deco, art nouveau, trending on artstation",no
photo of a real-life beautiful warrior with amethyst encrusted armour,no
"''cinematic shot'' red hooded mage ( spectre ) with leaves falling simetrical 8 k atmosferic realistic, green cape, holding a bell, made by ivan aivazovsky, peter mohrbacher, greg rutkowski volumetric light effect broad light oil painting painting fantasy art style sci - fi art style realism premium prints available artwork unreal engine",no
"school girl playing electric guitar, school uniform, seifuku, pleated miniskirt, overknee socks, battle angel alita. by rembrandt 1 6 6 7, illustration, by konstantin razumov",no
Gustav Klimt painting of female figure,no
"Steven Yeun playing Negan Smith from the walking dead,8k,",no
"portrait of monster in cyber armor, dreamy and ethereal, expressive pose, gold eyes, angry expression, fantasy, intricate, elegant, many lightning, cold color, highly detailed, digital painting, anime, artstation, concept art, cyberpunk wearing, smooth, sharp focus, led, illustration.",no
wonder carnival by Max Ernst,no
